SeriesInd,group,Var01,Var02,Var03,Var05,Var07
40951,S03,43.13714214,157523100,42.82857129,42.88571543,42.87714386
40952,S03,43.20999914,108824100,42.91428757,43.09857171,43.18714143
40953,S03,45,230548500,43.55857086,43.91999814,44.96285629
40956,S03,45.57143014,273252700,44.898571,45.49571614,45.42856986
40957,S03,44.82428743,308196000,42.86000057,43.34285743,44.21285629
40958,S03,44.89285657,180406100,43.83856957,44.14285657,44.36142729
40959,S03,44.96285629,137865000,43.82857129,44.62285614,44.217144
40960,S03,44.29142757,93194500,43.75714114,44.15285871,43.92428586
40963,S03,44.514286,98115500,44.06285857,44.155716,44.119999
40964,S03,44.24857329,98232400,43.66428757,43.83856957,44.00714114
40965,S03,44.27142714,99750700,43.65714257,43.95000071,43.97571557
40966,S03,44,137762800,42.985714,43.99285886,43.60571286
40967,S03,43.69714357,107627800,42.98143,43.46142957,42.99714286
40970,S03,43.65714257,105972300,43.17142871,43.17428586,43.45428471
40971,S03,44.31285857,108482500,43.85714343,43.85714343,44.19428629
40972,S03,44.69714357,127087100,44.07571414,44.48143,44.68571471
40973,S03,45.74000171,160622000,45.00428386,45.06428529,45.467144
40974,S03,45.65285871,90313300,45.25,45.42714314,45.304287
40977,S03,45.681427,70439600,45.25142671,45.31428529,45.51714329
40978,S03,45.90000157,95886000,44.92856986,45.86428457,45.15428543
40979,S03,45.53857043,96056800,44.79285814,45.23428729,45.43285757
40980,S03,45.485714,90321000,44.89285657,45,45.235714
40981,S03,45.21428686,198961700,43.37571329,45.14285657,44.00428386
40984,S03,44.36285786,100901500,43.75285714,44.06571586,43.86285786
40985,S03,43.94285586,164412500,42.75999829,43.67428586,43.08428571
40986,S03,43.42714314,119862400,42.53714371,43.02857214,42.92856986
40987,S03,44.23857114,123622800,43.52714157,43.59999843,44.061428
40988,S03,44.05714414,96210800,43.60571286,43.99571614,43.818573
40991,S03,44.76571271,98268800,43.695713,43.811428,44.76571271
40992,S03,44.53571314,129861900,43.79428486,44.34999843,44.10428614
40993,S03,45.05714414,103431300,44.53571314,44.57143014,44.97142786
40995,S03,45.38571543,59396400,44.70571514,44.81999971,45
40998,S03,45.35428614,111446300,44.48285671,45.07143014,45.26714329
40999,S03,44.90857314,125464500,44.40999986,44.79142757,44.45000071
41000,S03,45.39285657,115437700,45,45.03857043,45.20000071
41001,S03,45.57143014,115709300,44.98428729,45.36142729,45.45000071
41002,S03,45.52142714,85523200,45.19142914,45.28714371,45.34857171
41005,S03,46.047142,112120400,45.48857114,45.52000043,45.735714
41006,S03,46.28428643,97863500,45.445713,46.25714114,45.45857243
41007,S03,45.86000057,80483900,45.30142971,45.66143043,45.85857014
41008,S03,46.07143014,73537800,45.57428743,46.01857,45.68000029
41009,S03,45.86428457,65627800,45.514286,45.66428757,45.79428486
41012,S03,46.43714143,109953900,45.85714343,46.33856957,45.952858
41013,S03,46.07714457,87752000,45.57143014,45.96142957,45.75571443
41014,S03,46.14285657,104328000,45.59857171,45.71428686,45.76571271
41015,S03,46.087143,80507700,45.72857286,45.869999,45.89285657
41016,S03,45.97000129,96732300,45.74714286,45.94714357,45.80142971
41019,S03,46.17856986,96402600,45.46142957,45.94285586,46.02999871
41020,S03,46.34142686,64088500,46.00714114,46.14285657,46.31428529
41021,S03,46.53142929,66480400,46.22142786,46.337143,46.45142743
41022,S03,46.45000071,55789300,46.167141,46.42856986,46.22857286
41026,S03,46.49142843,62454000,45.931427,46.12142943,46.38285829
